"","t","electricity_no_hvac","cooling_electricity","heating_electricity","dw","total_electricity","DHeating","temperature","windSpeed","windBearing","sunAltitude","GHI","nhours","cluster","cluster_train","cluster_pred","dep","m1","m2","m","mt","ml","temp_dep_h","temp_dep_c","GHI_dep","windSpeed_dep","status","temp_dep_c_m1","temp_dep_h_m1","GHI_dep_m1","windSpeed_dep_m1","windBearing_m1","temp_dep_c_m2","temp_dep_h_m2","GHI_dep_m2","windSpeed_dep_m2","windBearing_m2"
"23",2016-01-23,4.12873449309539,0,81.7889286336152,"6",85.9176631267106,220.830107310761,-1.74682116905799,2.74333333333333,208.75,29.0986221013395,16.4505833333333,24,"7","7","7",1,0,0,0,0,0,13.647619497108,0,16.4505833333333,2.74333333333333,0,0,0,0,0,0,0,0,0,0,0
"24",2016-01-24,3.73414118144325,0,129.133938035309,"7",132.868079216753,351.185036559488,3.60511900275175,2.58916666666667,212.083333333333,29.3340834622114,28.8951916666667,24,"7","7","7",1,0,0,0,0,0,8.29567932529826,0,28.8951916666667,2.58916666666667,0,0,0,0,0,0,0,0,0,0,0
"25",2016-01-25,261.760468580023,0,303.93547613811,"1",565.695944718133,901.462495595927,7.27529378918316,3.10458333333333,231.083333333333,29.5754377792039,16.6506916666667,24,"1","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2016-01-26,261.907449849543,0,150.006997249338,"2",411.914447098882,450.020991748015,8.70458987803861,3.89208333333333,209.208333333333,29.8225894402589,33.6277166666667,24,"3","3","3",1,0,0,0,0,0,3.1962084500114,0,33.6277166666667,3.89208333333333,0,0,0,0,0,0,0,0,0,0,0
"27",2016-01-27,261.912556814095,0,123.638727502012,"3",385.551284316107,370.916182506037,10.1039888380079,5.36958333333333,207.666666666667,30.07544111085,22.7855125,24,"3","3","3",1,0,0,0,0,0,1.79680949004212,0,22.7855125,5.36958333333333,0,0,0,0,0,0,0,0,0,0,0
"28",2016-01-28,261.806804334481,0,100.562912561141,"4",362.369716895622,293.142591500638,7.77241974315947,5.3825,244.166666666667,30.3338938088568,45.1807666666667,24,"3","3","3",1,0,0,0,0,0,4.12837858489054,0,45.1807666666667,5.3825,0,0,0,0,0,0,0,0,0,0,0
"29",2016-01-29,259.140420337058,0,144.969529672173,"5",404.109950009231,413.896776121093,5.08366456846622,4.89791666666667,206.125,30.5978469792763,36.6307,24,"3","3","3",1,0,0,0,0,0,6.81713375958379,0,36.6307,4.89791666666667,0,0,0,0,0,0,0,0,0,0,0
"30",2016-01-30,4.46893841260464,0,4.92746020008582,"6",9.39639861269046,14.4867928742582,7.87052775078533,6.68041666666667,212.541666666667,30.8671985686532,19.8096208333333,24,"7","7","7",1,0,0,0,0,0,4.03027057726468,0,19.8096208333333,6.68041666666667,0,0,0,0,0,0,0,0,0,0,0
"31",2016-01-31,4.52081637944823,0,43.9002806220324,"7",48.4210970014806,121.436807975976,4.31883196418654,5.5775,231.833333333333,31.1418450991201,33.425925,24,"7","7","7",1,0,0,0,0,0,7.58196636386347,0,33.425925,5.5775,0,0,0,0,0,0,0,0,0,0,0
"32",2016-02-01,260.79152907255,0,268.523304600417,"1",529.314833672966,774.636651787968,7.14722424174217,4.43333333333333,228.625,31.4216817419436,20.5765916666667,24,"2","2","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2016-02-02,260.580359272316,0,137.611276512878,"2",398.191635785193,412.833829538633,9.33077743539261,7.405,238,31.7066023904731,31.8814583333333,24,"3","3","3",1,0,0,0,0,0,2.57002089265739,0,31.8814583333333,7.405,0,0,0,0,0,0,0,0,0,0,0
"34",2016-02-03,261.065805638565,0,117.494509582953,"3",378.560315221517,343.102259731728,5.63624970275996,6.47,244.25,31.9964997324005,51.6188041666667,24,"3","3","3",1,0,0,0,0,0,6.26454862529005,0,51.6188041666667,6.47,0,0,0,0,0,0,0,0,0,0,0
"35",2016-02-04,263.314447185464,0,172.191931580877,"4",435.50637876634,464.918215268367,3.56682685651112,4.77833333333333,259.166666666667,32.2912653212398,31.6794416666667,24,"3","3","3",1,0,0,0,0,0,8.33397147153889,0,31.6794416666667,4.77833333333333,0,0,0,0,0,0,0,0,0,0,0
"36",2016-02-05,255.697779369763,0,185.356300577445,"5",441.054079947208,510.088752647322,3.5327406203901,3.48875,229.375,32.5907896469434,36.8730958333333,24,"2","3","3",1,0,0,0,0,0,8.3680577076599,0,36.8730958333333,3.48875,0,0,0,0,0,0,0,0,0,0,0
"37",2016-02-06,5.38311124354128,0,0.144312697463331,"6",5.52742394100461,0.432938092389993,7.68662202744905,3.60875,180.458333333333,32.8949622055796,48.8683916666667,24,"7","7","7",1,0,0,0,0,0,4.21417630060096,0,48.8683916666667,3.60875,0,0,0,0,0,0,0,0,0,0,0
"38",2016-02-07,4.53453710674324,0,6.70390028898518,"7",11.2384373957284,18.673532908881,6.82131172064478,3.545,166.291666666667,33.2036715679931,57.1740916666667,24,"7","7","7",1,0,0,0,0,0,5.07948660740523,0,57.1740916666667,3.545,0,0,0,0,0,0,0,0,0,0,0
"39",2016-02-08,259.766074854622,0,166.526175634659,"1",426.292250489282,499.578526903978,7.75301940985997,5.46291666666667,190.791666666667,33.5168054473879,25.2128125,24,"3","3","3",1,0,0,0,0,0,4.14777891819004,0,25.2128125,5.46291666666667,0,0,0,0,0,0,0,0,0,0,0
"40",2016-02-09,259.72012462446,0,103.4884306764,"2",363.20855530086,310.465292029199,8.15380082367231,6.34875,187.208333333333,33.8342507657664,49.5809125,24,"3","3","3",1,0,0,0,0,0,3.7469975043777,0,49.5809125,6.34875,0,0,0,0,0,0,0,0,0,0,0
"41",2016-02-10,260.143699030772,0,95.8790585804324,"3",356.022757611204,265.944352459861,5.68744881824089,5.20958333333333,220.916666666667,34.1558937191715,64.3101083333333,24,"3","3","3",1,0,0,0,0,0,6.21334950980912,0,64.3101083333333,5.20958333333333,0,0,0,0,0,0,0,0,0,0,0
