"","t","total_electricity","outdoor_temp","s","daypart","weekday","outdoor_temp_h","outdoor_temp_lp_h","outdoor_temp_c","outdoor_temp_lp_c","daypart_fs_sin_1","daypart_fs_cos_1","daypart_fs_sin_2","daypart_fs_cos_2","daypart_fs_sin_3","daypart_fs_cos_3"
"10204",2017-05-03 09:00:00,15540.7083363641,18.5,"04","2","3",0,0,3.16666666666667,1.35956350398952,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16,0.707106781186547,0.707106781186548
"10205",2017-05-03 10:00:00,15914.2537026405,19,"04","2","3",0,0,3.66666666666667,1.40804032854263,0.5,-0.866025403784439,-0.866025403784439,0.5,1,3.06161699786838e-16
"10206",2017-05-03 11:00:00,15432.4745378145,19.1666666666667,"04","2","3",0,0,3.83333333333337,1.45900055666988,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438,0.707106781186548,-0.707106781186547
"10207",2017-05-03 12:00:00,15619.5247435131,19.5,"04","3","3",0,0,2.9,0.249227338500077,1.22464679914735e-16,-1,-2.44929359829471e-16,1,3.67394039744206e-16,-1
"10208",2017-05-03 13:00:00,16015.826959741,20,"04","3","3",0,0,3.4,0.315431336652043,-0.25881904510252,-0.965925826289068,0.499999999999999,0.866025403784439,-0.707106781186548,-0.707106781186547
"10209",2017-05-03 14:00:00,11718.1125896396,19.9666666666667,"04","3","3",0,0,3.3666666666667,0.379543857564084,-0.5,-0.866025403784439,0.866025403784439,0.5,-1,-4.28626379701574e-16
"10210",2017-05-03 15:00:00,16411.5741308481,20,"04","3","3",0,0,3.4,0.443009646548276,-0.707106781186547,-0.707106781186548,1,3.06161699786838e-16,-0.707106781186548,0.707106781186547
"10211",2017-05-03 16:00:00,16396.5879125873,19,"04","4","3",0,0,3.46666666666667,1.55079657153331,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999,-4.89858719658941e-16,1
"10212",2017-05-03 17:00:00,16724.06453384,19.1,"04","4","3",0,0,3.56666666666667,1.59315401029225,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439,0.707106781186548,0.707106781186547
"10213",2017-05-03 18:00:00,16409.9089954857,18.5,"04","4","3",0,0,2.96666666666667,1.62201424209362,-1,-1.83697019872103e-16,3.67394039744206e-16,-1,1,5.51091059616309e-16
"10214",2017-05-03 19:00:00,15935.9004623505,17.5,"04","4","3",0,0,1.96666666666667,1.62925607479019,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439,0.707106781186549,-0.707106781186546
"10215",2017-05-03 20:00:00,14149.7652637212,17.0333333333333,"04","5","3",0,0,0,0,-0.866025403784439,0.5,-0.866025403784439,-0.5,6.12323399573677e-16,-1
"10216",2017-05-03 21:00:00,10289.4264487845,16,"04","5","3",0,0,0,0,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16,-0.707106781186548,-0.707106781186547
"10217",2017-05-03 22:00:00,6861.46778292558,16,"04","5","3",0,0,0,0,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999,-1,-2.44991257893129e-15
"10218",2017-05-03 23:00:00,10332.1649230836,16,"04","5","3",0,0,0,0,-0.258819045102521,0.965925826289068,-0.5,0.866025403784439,-0.707106781186549,0.707106781186546
"10219",2017-05-04 00:00:00,10000.8029859855,16,"04","0","4",0,0,0,0,0,1,0,1,0,1
"10220",2017-05-04 01:00:00,10071.8487614437,15,"04","0","4",0,0,0,0,0.258819045102521,0.965925826289068,0.5,0.866025403784439,0.707106781186547,0.707106781186548
"10221",2017-05-04 02:00:00,9872.03251796751,15.5,"04","0","4",0,0,0,0,0.5,0.866025403784439,0.866025403784439,0.5,1,6.12323399573677e-17
"10222",2017-05-04 03:00:00,9985.81676772481,14.5,"04","0","4",0,0,0,0,0.707106781186547,0.707106781186548,1,6.12323399573677e-17,0.707106781186548,-0.707106781186547
"10223",2017-05-04 04:00:00,9569.53292714932,13.5,"04","1","4",4.23333333333333,0.867848297657908,0,0,0.866025403784439,0.5,0.866025403784439,-0.5,1.22464679914735e-16,-1
"10224",2017-05-04 05:00:00,9257.59756927809,13.7666666666667,"04","1","4",3.96666666666663,0.932960632826344,0,0,0.965925826289068,0.258819045102521,0.5,-0.866025403784439,-0.707106781186547,-0.707106781186548
"10225",2017-05-04 06:00:00,7320.49009780015,14,"04","1","4",3.73333333333333,0.991802031113998,0,0,1,6.12323399573677e-17,1.22464679914735e-16,-1,-1,-1.83697019872103e-16
"10226",2017-05-04 07:00:00,12225.9788751417,14.5,"04","1","4",3.23333333333333,1.03890106050543,0,0,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439,-0.707106781186548,0.707106781186547
"10227",2017-05-04 08:00:00,15114.9887287356,16.7,"04","2","4",0,0,1.36666666666667,1.36121592851251,0.866025403784439,-0.5,-0.866025403784438,-0.5,-2.44929359829471e-16,1
"10228",2017-05-04 09:00:00,15459.6717487321,18,"04","2","4",0,0,2.66666666666667,1.38864604408774,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16,0.707106781186547,0.707106781186548
"10229",2017-05-04 10:00:00,15102.2226909579,18.5,"04","2","4",0,0,3.16666666666667,1.42600579252334,0.5,-0.866025403784439,-0.866025403784439,0.5,1,3.06161699786838e-16
"10230",2017-05-04 11:00:00,15030.621870379,18.8666666666667,"04","2","4",0,0,3.53333333333337,1.4702849340565,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438,0.707106781186548,-0.707106781186547
"10231",2017-05-04 12:00:00,15608.4238410977,19,"04","3","4",0,0,2.4,0.249768614554995,1.22464679914735e-16,-1,-2.44929359829471e-16,1,3.67394039744206e-16,-1
"10232",2017-05-04 13:00:00,15993.6251549103,19,"04","3","4",0,0,2.4,0.294949251167644,-0.25881904510252,-0.965925826289068,0.499999999999999,0.866025403784439,-0.707106781186548,-0.707106781186547
"10233",2017-05-04 14:00:00,12177.689949635,19.4333333333333,"04","3","4",0,0,2.8333333333333,0.348285747684237,-0.5,-0.866025403784439,0.866025403784439,0.5,-1,-4.28626379701574e-16
"10234",2017-05-04 15:00:00,17789.7511657133,20,"04","3","4",0,0,3.4,0.412408331706043,-0.707106781186547,-0.707106781186548,1,3.06161699786838e-16,-0.707106781186548,0.707106781186547
"10235",2017-05-04 16:00:00,16666.3398412802,19.5,"04","4","4",0,0,3.96666666666667,1.53134424528568,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999,-4.89858719658941e-16,1
"10236",2017-05-04 17:00:00,17073.1879148027,19.8666666666667,"04","4","4",0,0,4.33333333333337,1.59021960708936,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439,0.707106781186548,0.707106781186547
"10237",2017-05-04 18:00:00,17435.6323786638,19.5,"04","4","4",0,0,3.96666666666667,1.64015348478957,-1,-1.83697019872103e-16,3.67394039744206e-16,-1,1,5.51091059616309e-16
"10238",2017-05-04 19:00:00,16640.807765725,18.5,"04","4","4",0,0,2.96666666666667,1.6680261641849,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439,0.707106781186549,-0.707106781186546
"10239",2017-05-04 20:00:00,14425.6226887426,17.2333333333333,"04","5","4",0,0,0,0,-0.866025403784439,0.5,-0.866025403784439,-0.5,6.12323399573677e-16,-1
"10240",2017-05-04 21:00:00,10873.3339158318,16.5,"04","5","4",0,0,0,0,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16,-0.707106781186548,-0.707106781186547
"10241",2017-05-04 22:00:00,7225.57738214894,17,"04","5","4",0,0,0,0,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999,-1,-2.44991257893129e-15
"10242",2017-05-04 23:00:00,10337.7153742913,16.1333333333333,"04","5","4",0,0,0,0,-0.258819045102521,0.965925826289068,-0.5,0.866025403784439,-0.707106781186549,0.707106781186546
"10243",2017-05-05 00:00:00,9674.99150009512,14.5,"04","0","5",0,0,0,0,0,1,0,1,0,1
"10244",2017-05-05 01:00:00,9733.27123777569,14,"04","0","5",0,0,0,0,0.258819045102521,0.965925826289068,0.5,0.866025403784439,0.707106781186547,0.707106781186548
"10245",2017-05-05 02:00:00,9442.98263961438,13.9333333333333,"04","0","5",0,0,0,0,0.5,0.866025403784439,0.866025403784439,0.5,1,6.12323399573677e-17
"10246",2017-05-05 03:00:00,9131.60232686391,13.5,"04","0","5",0,0,0,0,0.707106781186547,0.707106781186548,1,6.12323399573677e-17,0.707106781186548,-0.707106781186547
"10247",2017-05-05 04:00:00,9500.70733217418,12.5,"04","1","5",5.23333333333333,0.924003542686872,0,0,0.866025403784439,0.5,0.866025403784439,-0.5,1.22464679914735e-16,-1
"10248",2017-05-05 05:00:00,9142.70322927926,12.5,"04","1","5",5.23333333333333,1.01455112962713,0,0,0.965925826289068,0.258819045102521,0.5,-0.866025403784439,-0.707106781186547,-0.707106781186548
